method,seed,alpha,pop_size,max_iter,best_score_cv,selected_count,runtime_sec,test_acc,test_precision,test_recall,test_f1,selected_file
NetG-PSO,1,0.92,12,20,0.7893320634920635,54,30.63142490386963,0.7368421052631579,0.7333333333333333,0.9166666666666666,0.8148148148148148,experiments/selected_seed1_alpha0.92.txt
NetG-PSO,2,0.92,12,20,0.7993968253968254,350,30.794835805892944,0.6842105263157895,0.7142857142857143,0.8333333333333334,0.7692307692307693,experiments/selected_seed2_alpha0.92.txt
NetG-PSO,3,0.92,12,20,0.7720120634920636,487,31.239046812057495,0.7368421052631579,0.7333333333333333,0.9166666666666666,0.8148148148148148,experiments/selected_seed3_alpha0.92.txt
NetG-PSO,4,0.92,12,20,0.7893320634920635,54,30.6409809589386,0.7894736842105263,0.75,1.0,0.8571428571428571,experiments/selected_seed4_alpha0.92.txt
NetG-PSO,1,0.8,12,20,0.6828539682539684,54,30.062861919403076,0.7368421052631579,0.7333333333333333,0.9166666666666666,0.8148148148148148,experiments/selected_seed1_alpha0.80.txt
NetG-PSO,2,0.8,12,20,0.6688539682539684,194,30.29579997062683,0.6842105263157895,0.7142857142857143,0.8333333333333334,0.7692307692307693,experiments/selected_seed2_alpha0.80.txt
NetG-PSO,3,0.8,12,20,0.6687015873015874,386,30.716862201690674,0.8421052631578947,0.8461538461538461,0.9166666666666666,0.88,experiments/selected_seed3_alpha0.80.txt
NetG-PSO,4,0.8,12,20,0.6828539682539684,54,30.611754894256592,0.7894736842105263,0.75,1.0,0.8571428571428571,experiments/selected_seed4_alpha0.80.txt
NetG-PSO,1,0.7,12,20,0.5941222222222222,54,30.342962980270386,0.7368421052631579,0.7333333333333333,0.9166666666666666,0.8148148148148148,experiments/selected_seed1_alpha0.70.txt
NetG-PSO,2,0.7,12,20,0.5640166666666666,151,30.910655975341797,0.7368421052631579,0.7692307692307693,0.8333333333333334,0.8,experiments/selected_seed2_alpha0.70.txt
NetG-PSO,3,0.7,12,20,0.5664611111111112,231,32.90412712097168,0.7894736842105263,0.8333333333333334,0.8333333333333334,0.8333333333333334,experiments/selected_seed3_alpha0.70.txt
NetG-PSO,4,0.7,12,20,0.5941222222222222,54,33.81353783607483,0.7894736842105263,0.75,1.0,0.8571428571428571,experiments/selected_seed4_alpha0.70.txt
NetG-PSO,1,0.92,12,20,0.8146971428571428,4,56.28521513938904,0.7368421052631579,0.8181818181818182,0.75,0.782608695652174,experiments/selected_seed1_alpha0.92.txt
NetG-PSO,2,0.92,12,20,0.7167631746031745,846,60.22306776046753,0.631578947368421,0.6923076923076923,0.75,0.72,experiments/selected_seed2_alpha0.92.txt
NetG-PSO,3,0.92,12,20,0.7654317460317461,615,57.466541051864624,0.7368421052631579,0.7692307692307693,0.8333333333333334,0.8,experiments/selected_seed3_alpha0.92.txt
NetG-PSO,4,0.92,12,20,0.7399879365079366,813,59.35414409637451,0.7894736842105263,0.9,0.75,0.8181818181818182,experiments/selected_seed4_alpha0.92.txt
NetG-PSO,1,0.8,12,20,0.7081714285714287,4,53.96317481994629,0.7368421052631579,0.8181818181818182,0.75,0.782608695652174,experiments/selected_seed1_alpha0.80.txt
NetG-PSO,2,0.8,12,20,0.6331238095238095,564,56.26391100883484,0.7368421052631579,0.7692307692307693,0.8333333333333334,0.8,experiments/selected_seed2_alpha0.80.txt
NetG-PSO,3,0.8,12,20,0.7064793650793652,186,55.30896997451782,0.7894736842105263,0.8333333333333334,0.8333333333333334,0.8333333333333334,experiments/selected_seed3_alpha0.80.txt
NetG-PSO,4,0.8,12,20,0.6274460317460318,443,55.999375104904175,0.8421052631578947,0.9090909090909091,0.8333333333333334,0.8695652173913043,experiments/selected_seed4_alpha0.80.txt
NetG-PSO,1,0.7,12,20,0.6193999999999998,4,52.465331077575684,0.7368421052631579,0.8181818181818182,0.75,0.782608695652174,experiments/selected_seed1_alpha0.70.txt
NetG-PSO,2,0.7,12,20,0.5554388888888888,423,55.08562779426575,0.6842105263157895,0.7142857142857143,0.8333333333333334,0.7692307692307693,experiments/selected_seed2_alpha0.70.txt
NetG-PSO,3,0.7,12,20,0.5885277777777778,195,53.19949388504028,0.7368421052631579,0.7692307692307693,0.8333333333333334,0.8,experiments/selected_seed3_alpha0.70.txt
NetG-PSO,4,0.7,12,20,0.5523333333333332,340,55.460566997528076,0.7368421052631579,0.7692307692307693,0.8333333333333334,0.8,experiments/selected_seed4_alpha0.70.txt
