method,seed,alpha,pop_size,max_iter,best_score_cv,selected_count,runtime_sec,test_acc,test_precision,test_recall,test_f1,selected_file
NetG-PSO,1,0.8,12,20,0.6877539682539684,5,54.02476692199707,0.3157894736842105,0.4444444444444444,0.3333333333333333,0.38095238095238093,experiments/selected_seed1_alpha0.80.txt
NetG-PSO,2,0.8,12,20,0.6860015873015873,213,55.55613684654236,0.631578947368421,0.6923076923076923,0.75,0.72,experiments/selected_seed2_alpha0.80.txt
NetG-PSO,3,0.8,12,20,0.6482841269841271,387,57.004416942596436,0.7368421052631579,0.7692307692307693,0.8333333333333334,0.8,experiments/selected_seed3_alpha0.80.txt
