method,seed,alpha,pop_size,max_iter,best_score_cv,selected_count,runtime_sec,test_acc,test_precision,test_recall,test_f1,selected_file
NetG-PSO,1,0.8,12,20,0.6699761904761906,5,53.941068172454834,0.7894736842105263,0.8333333333333334,0.8333333333333334,0.8333333333333334,experiments/selected_seed1_alpha0.80.txt
NetG-PSO,2,0.8,12,20,0.6849714285714287,236,53.688636302948,0.7368421052631579,0.8181818181818182,0.75,0.782608695652174,experiments/selected_seed2_alpha0.80.txt
NetG-PSO,3,0.8,12,20,0.6682317460317461,378,55.43266701698303,0.6842105263157895,0.7142857142857143,0.8333333333333334,0.7692307692307693,experiments/selected_seed3_alpha0.80.txt
