delta,n_nodes,n_edges,mean_selected,std_selected,mean_acc,std_acc,mean_runtime_sec
0.15,2000,1997321,201.66666666666666,191.25201523992715,0.5614035087719298,0.21912273678590868,55.52844023704529
0.2,2000,1948865,206.33333333333334,188.26134317308302,0.7368421052631579,0.05263157894736842,54.35412383079529
0.25,2000,1841259,335.6666666666667,205.6558614125387,0.6666666666666666,0.1324532357065044,57.65358146031698
0.3,2000,1697205,370.6666666666667,59.61822987420319,0.6666666666666666,0.08039606482378664,54.184820890426636
0.35,2000,1513746,279.0,94.93682109698007,0.7017543859649124,0.08039606482378668,48.94658064842224
