method,seed,alpha,pop_size,max_iter,best_score_cv,selected_count,runtime_sec,test_acc,test_precision,test_recall,test_f1,selected_file
NetG-PSO,1,0.8,12,20,0.6385285714285716,129,53.427491903305054,0.42105263157894735,0.5384615384615384,0.5833333333333334,0.56,experiments/selected_seed1_alpha0.80.txt
NetG-PSO,2,0.8,12,20,0.681731746031746,243,55.798738956451416,0.6842105263157895,0.7142857142857143,0.8333333333333334,0.7692307692307693,experiments/selected_seed2_alpha0.80.txt
NetG-PSO,3,0.8,12,20,0.7292571428571429,136,54.54164099693298,0.7894736842105263,0.8333333333333334,0.8333333333333334,0.8333333333333334,experiments/selected_seed3_alpha0.80.txt
NetG-PSO,4,0.8,12,20,0.6328761904761906,376,54.85794687271118,0.8421052631578947,1.0,0.75,0.8571428571428571,experiments/selected_seed4_alpha0.80.txt
