method,seed,alpha,pop_size,max_iter,best_score_cv,selected_count,runtime_sec,test_acc,test_precision,test_recall,test_f1,selected_file
NetG-PSO,1,0.8,12,20,0.6414063492063492,278,51.862590074539185,0.5263157894736842,0.6,0.75,0.6666666666666666,experiments/selected_seed1_alpha0.80.txt
NetG-PSO,2,0.8,12,20,0.6730238095238097,165,54.69215416908264,0.6842105263157895,0.7142857142857143,0.8333333333333334,0.7692307692307693,experiments/selected_seed2_alpha0.80.txt
NetG-PSO,3,0.8,12,20,0.630584126984127,564,66.4060001373291,0.7894736842105263,0.7857142857142857,0.9166666666666666,0.8461538461538461,experiments/selected_seed3_alpha0.80.txt
