method,seed,alpha,pop_size,max_iter,best_score_cv,selected_count,runtime_sec,test_acc,test_precision,test_recall,test_f1,selected_file
NetG-PSO,1,0.8,12,20,0.6438063492063493,254,50.536218881607056,0.631578947368421,0.6666666666666666,0.8333333333333334,0.7407407407407407,experiments/selected_seed1_alpha0.80.txt
NetG-PSO,2,0.8,12,20,0.6798714285714287,287,54.85225701332092,0.7368421052631579,0.7692307692307693,0.8333333333333334,0.8,experiments/selected_seed2_alpha0.80.txt
NetG-PSO,3,0.8,12,20,0.6901015873015874,172,51.12838792800903,0.6842105263157895,0.6875,0.9166666666666666,0.7857142857142857,experiments/selected_seed3_alpha0.80.txt
NetG-PSO,4,0.8,12,20,0.6219761904761906,485,54.71752309799194,0.8421052631578947,0.9090909090909091,0.8333333333333334,0.8695652173913043,experiments/selected_seed4_alpha0.80.txt
